email,first_name,last_name,email_verified,external_id,password_hash,password_hash_type,metadata,org_external_id,org_name,role_slugs
karen.thomas@initech.co,Karen,Thomas,true,user_11,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_11"",""username"":""karent"",""primary_phone_number"":""+15551000011"",""verified_phone_numbers"":""+15551000011"",""verified_email_addresses"":""karen.thomas@initech.co""}",initech-co,Initech Corp,org-admin
leo.jackson@initech.co,Leo,Jackson,true,user_12,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_12"",""username"":""leoj"",""verified_email_addresses"":""leo.jackson@initech.co""}",initech-co,Initech Corp,org-editor
mia.white@initech.co,Mia,White,true,user_13,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_13"",""username"":""miaw"",""verified_email_addresses"":""mia.white@initech.co""}",initech-co,Initech Corp,org-editor
noah.harris@initech.co,Noah,Harris,true,user_14,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_14"",""username"":""noahh"",""verified_email_addresses"":""noah.harris@initech.co""}",initech-co,Initech Corp,org-viewer
olivia.clark@initech.co,Olivia,Clark,true,user_15,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_15"",""username"":""oliviac"",""primary_phone_number"":""+15551000015"",""verified_phone_numbers"":""+15551000015"",""verified_email_addresses"":""olivia.clark@initech.co""}",initech-co,Initech Corp,org-viewer
paul.lewis@wayneent.com,Paul,Lewis,true,user_16,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_16"",""username"":""paull"",""verified_email_addresses"":""paul.lewis@wayneent.com""}",wayne-ent,Wayne Enterprises,org-admin
quinn.robinson@wayneent.com,Quinn,Robinson,true,user_17,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_17"",""username"":""quinnr"",""verified_email_addresses"":""quinn.robinson@wayneent.com""}",wayne-ent,Wayne Enterprises,org-editor
rachel.walker@wayneent.com,Rachel,Walker,true,user_18,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_18"",""username"":""rachelw"",""primary_phone_number"":""+15551000018"",""verified_phone_numbers"":""+15551000018"",""verified_email_addresses"":""rachel.walker@wayneent.com""}",wayne-ent,Wayne Enterprises,org-viewer
sam.young@wayneent.com,Sam,Young,true,user_19,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_19"",""username"":""samy"",""verified_email_addresses"":""sam.young@wayneent.com""}",wayne-ent,Wayne Enterprises,org-viewer
tina.king@wayneent.com,Tina,King,true,user_20,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_20"",""username"":""tinak"",""verified_email_addresses"":""tina.king@wayneent.com""}",wayne-ent,Wayne Enterprises,org-viewer
uma.scott@freelance.dev,Uma,Scott,true,user_21,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_21"",""username"":""umas"",""verified_email_addresses"":""uma.scott@freelance.dev""}",,,platform-editor
victor.adams@freelance.dev,Victor,Adams,true,user_22,,,"{""clerk_user_id"":""user_22"",""username"":""victora"",""verified_email_addresses"":""victor.adams@freelance.dev""}",,,support-agent
wendy.baker@freelance.dev,Wendy,Baker,true,user_23,,,"{""clerk_user_id"":""user_23"",""username"":""wendyb"",""verified_email_addresses"":""wendy.baker@freelance.dev""}",,,platform-editor
xander.cole@freelance.dev,Xander,Cole,true,user_24,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_24"",""username"":""xanderc"",""primary_phone_number"":""+15551000024"",""verified_phone_numbers"":""+15551000024"",""verified_email_addresses"":""xander.cole@freelance.dev""}",,,support-agent
yara.diaz@freelance.dev,Yara,Diaz,true,user_25,$2a$10$fgPOubgdJs90F1GK2u.Qye7Xyyi2ajrQJoB5LDG5bnITEvFR/xhZ.,bcrypt,"{""clerk_user_id"":""user_25"",""username"":""yarad"",""verified_email_addresses"":""yara.diaz@freelance.dev""}",,,platform-editor
